id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
1033,460000.0,62.0,62.0,0.0,2,2,2,0,0,1,100000.0,0,0,0,san miguel
1034,280000.0,36.0,36.0,0.0,1,1,1,0,0,0,30000.0,0,0,0,santiago
1035,83.0,0.0,197.0,0.0,0,0,0,0,0,0,500000.0,0,0,0,otras
1036,345000.0,38.0,38.0,0.0,1,1,1,0,0,0,32000.0,0,0,0,santiago
1037,8.0,37.0,34.0,0.0,1,1,1,0,0,0,47000.0,0,0,0,la cisterna
1038,444000.0,0.0,53.0,0.0,0,0,0,0,0,0,87000.0,0,0,0,santiago
1039,312000.0,0.0,34.0,0.0,0,0,0,0,0,0,60000.0,0,0,0,santiago
1040,470000.0,0.0,60.0,0.0,0,0,0,0,0,0,100000.0,0,0,0,santiago
1041,515000.0,72.0,69.0,0.0,2,2,2,0,0,0,90000.0,0,0,0,la florida
1042,490000.0,53.0,50.0,0.0,2,2,2,1,0,0,80000.0,0,0,0,san miguel
1043,570000.0,0.0,71.0,0.0,0,0,0,0,0,0,130000.0,0,0,0,otras
1044,520000.0,45.0,40.0,0.0,2,2,1,1,0,1,80000.0,0,0,0,santiago
1045,335000.0,0.0,48.0,0.0,0,0,0,0,0,0,47000.0,0,0,0,otras
1046,430000.0,55.0,48.0,7.0,0,2,1,1,3,0,80000.0,15,12,10,otras
1047,1008.0,51.0,47.0,0.0,2,2,2,0,0,1,70000.0,0,0,0,otras
1048,390000.0,32.0,30.0,0.0,1,1,1,1,0,1,70000.0,0,0,0,san miguel
1049,146.0,558.0,334.0,224.0,0,2,4,3,0,1,1500000.0,2,0,3,las condes
1050,390000.0,41.0,39.0,0.0,1,1,1,0,0,0,45000.0,0,0,0,santiago
1051,364881.0,55.0,55.0,0.0,2,2,1,1,0,0,50000.0,0,0,0,otras
1052,1450.0,64.0,62.0,0.0,3,3,2,0,0,0,0.0,0,0,0,san miguel
1053,690000.0,0.0,100.0,0.0,0,0,0,0,0,0,110000.0,0,0,0,otras
1054,408500.0,54.0,47.0,0.0,2,2,2,1,0,1,86000.0,0,0,0,estación central
1055,315000.0,42.0,42.0,0.0,1,1,1,0,0,0,36000.0,0,0,0,santiago
1056,342000.0,40.0,36.0,0.0,1,1,1,0,0,0,60000.0,0,0,0,san miguel
1057,450000.0,0.0,45.0,0.0,0,0,0,0,0,0,130000.0,0,0,0,santiago
1058,420000.0,40.0,33.0,0.0,1,1,1,0,0,0,45000.0,0,0,0,san miguel
1059,43.0,140.0,140.0,0.0,0,3,3,2,0,1,250000.0,20,0,0,las condes
